epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2913.27,1.18172,0.97932,1.30728,0.81825,0.77735,0.85781,0.55001,1.25296,0.89764,1.42107,0.000288062,0.000288062,0.000288062
71,2954.85,1.15782,0.97462,1.29603,0.83671,0.78746,0.8634,0.55644,1.24785,0.87891,1.41907,0.000279063,0.000279063,0.000279063
72,2996.32,1.15954,0.95741,1.3027,0.78924,0.80238,0.85985,0.54521,1.30866,0.88895,1.44598,0.000270064,0.000270064,0.000270064
73,3037.5,1.145,0.94836,1.28929,0.84144,0.79854,0.879,0.56641,1.26871,0.85563,1.42805,0.000261065,0.000261065,0.000261065
74,3079.02,1.15056,0.93297,1.29233,0.83319,0.81005,0.87917,0.56916,1.26872,0.8475,1.42465,0.000252066,0.000252066,0.000252066
75,3120.36,1.11593,0.9249,1.28847,0.81694,0.78904,0.87938,0.55831,1.27088,0.86527,1.40731,0.000243067,0.000243067,0.000243067
76,3161.79,1.14271,0.92043,1.29258,0.82147,0.81046,0.87886,0.5681,1.23686,0.8332,1.40002,0.000234068,0.000234068,0.000234068
77,3203.13,1.13268,0.92665,1.2798,0.84249,0.79256,0.88097,0.57256,1.2434,0.85436,1.41072,0.000225068,0.000225068,0.000225068
78,3244.71,1.13679,0.92016,1.27668,0.79146,0.83081,0.89031,0.58101,1.24619,0.81708,1.41247,0.000216069,0.000216069,0.000216069
79,3286.08,1.1187,0.91777,1.28302,0.83157,0.8043,0.88395,0.57442,1.25571,0.82881,1.42225,0.00020707,0.00020707,0.00020707
80,3327.63,1.11076,0.90843,1.27986,0.84096,0.81373,0.89255,0.57828,1.24657,0.8139,1.41259,0.000198071,0.000198071,0.000198071
81,3369.2,1.10475,0.88803,1.26689,0.83568,0.82721,0.89118,0.58672,1.2476,0.82128,1.4026,0.000189072,0.000189072,0.000189072
82,3410.87,1.12628,0.88719,1.27063,0.84949,0.82398,0.89892,0.59207,1.25217,0.78873,1.406,0.000180073,0.000180073,0.000180073
83,3452.53,1.10313,0.87535,1.26344,0.83043,0.81549,0.89407,0.58148,1.24391,0.80489,1.40628,0.000171074,0.000171074,0.000171074
84,3494.07,1.08663,0.87712,1.25988,0.82609,0.80259,0.89314,0.59047,1.22621,0.80821,1.40492,0.000162075,0.000162075,0.000162075
85,3535.65,1.07858,0.87111,1.25644,0.84832,0.81222,0.89997,0.59149,1.22651,0.77446,1.39864,0.000153076,0.000153076,0.000153076
86,3577.14,1.09385,0.86124,1.25303,0.81294,0.85449,0.8898,0.58086,1.23267,0.80855,1.39306,0.000144077,0.000144077,0.000144077
87,3618.68,1.07834,0.85709,1.25414,0.86437,0.80391,0.89579,0.58914,1.22413,0.79512,1.39597,0.000135077,0.000135077,0.000135077
88,3660.15,1.08123,0.85975,1.25265,0.88117,0.81181,0.90568,0.60326,1.21527,0.77056,1.38953,0.000126078,0.000126078,0.000126078
89,3701.69,1.08335,0.85314,1.26056,0.84757,0.82561,0.90697,0.60266,1.21782,0.76165,1.39326,0.000117079,0.000117079,0.000117079
90,3743.19,1.05655,0.84241,1.24364,0.90126,0.80637,0.91015,0.60834,1.1995,0.7487,1.37643,0.00010808,0.00010808,0.00010808
91,3785.18,1.06392,0.84601,1.27654,0.83874,0.82881,0.90052,0.59557,1.22012,0.79101,1.3955,9.9081e-05,9.9081e-05,9.9081e-05
92,3826.4,1.03558,0.7986,1.26414,0.84897,0.86551,0.90789,0.60293,1.20065,0.7796,1.37632,9.00819e-05,9.00819e-05,9.00819e-05
93,3867.38,1.01177,0.74888,1.24104,0.87458,0.84157,0.91247,0.61143,1.18851,0.74773,1.35953,8.10828e-05,8.10828e-05,8.10828e-05
94,3908.52,0.99786,0.74542,1.23939,0.87247,0.84593,0.9078,0.60706,1.18187,0.7478,1.35443,7.20837e-05,7.20837e-05,7.20837e-05
95,3949.66,1.00244,0.741,1.24342,0.87713,0.83571,0.91206,0.61166,1.18728,0.74649,1.35842,6.30846e-05,6.30846e-05,6.30846e-05
96,3990.67,1.0039,0.74999,1.23491,0.87626,0.85053,0.91185,0.6126,1.17485,0.74602,1.34958,5.40855e-05,5.40855e-05,5.40855e-05
97,4031.81,0.99567,0.72638,1.22906,0.87272,0.86121,0.91303,0.61835,1.17023,0.74582,1.35463,4.50864e-05,4.50864e-05,4.50864e-05
98,4073.18,0.96987,0.71208,1.2156,0.88738,0.84476,0.91636,0.62394,1.15675,0.733,1.34097,3.60873e-05,3.60873e-05,3.60873e-05
99,4114.23,0.97419,0.70755,1.20879,0.87012,0.87329,0.91705,0.62287,1.15683,0.73288,1.34012,2.70882e-05,2.70882e-05,2.70882e-05
100,4155.36,0.9664,0.71079,1.21504,0.86156,0.87584,0.91438,0.62068,1.15833,0.73989,1.34237,1.80891e-05,1.80891e-05,1.80891e-05
