epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,3261.34,0.36533,0.40892,0.82012,0.83989,0.8333,0.8535,0.8191,0.31362,0.47163,0.79313,0.000274,0.000274,0.000274
112,3290.79,0.36297,0.39605,0.81861,0.82072,0.83031,0.8505,0.81331,0.31877,0.47746,0.79434,0.0002674,0.0002674,0.0002674
113,3320.27,0.37226,0.41666,0.825,0.84449,0.79856,0.86278,0.82255,0.32555,0.47214,0.79669,0.0002608,0.0002608,0.0002608
114,3349.59,0.35953,0.39699,0.82037,0.82183,0.79808,0.82155,0.79277,0.30876,0.47928,0.79336,0.0002542,0.0002542,0.0002542
115,3379.11,0.36829,0.39561,0.82418,0.84554,0.84098,0.85932,0.82056,0.32188,0.46019,0.79498,0.0002476,0.0002476,0.0002476
116,3408.54,0.36486,0.39277,0.82327,0.81476,0.88127,0.86721,0.82903,0.32214,0.42928,0.79544,0.000241,0.000241,0.000241
117,3438,0.35861,0.38702,0.81704,0.83696,0.82766,0.83602,0.80431,0.31531,0.46044,0.7918,0.0002344,0.0002344,0.0002344
118,3467.43,0.36006,0.39208,0.82178,0.8558,0.85056,0.85428,0.82046,0.31693,0.45124,0.79515,0.0002278,0.0002278,0.0002278
119,3496.91,0.35357,0.39007,0.81704,0.77428,0.86153,0.84408,0.81353,0.31203,0.46854,0.79411,0.0002212,0.0002212,0.0002212
120,3526.33,0.35236,0.37198,0.81727,0.81313,0.88018,0.8724,0.83904,0.31374,0.42951,0.7941,0.0002146,0.0002146,0.0002146
121,3555.74,0.35347,0.38471,0.82075,0.8556,0.82822,0.86377,0.83374,0.30506,0.45339,0.79238,0.000208,0.000208,0.000208
122,3585.27,0.3565,0.39547,0.82129,0.81316,0.87078,0.87006,0.83126,0.31424,0.43542,0.79474,0.0002014,0.0002014,0.0002014
123,3614.89,0.35703,0.38334,0.82104,0.86454,0.83195,0.84627,0.8126,0.30992,0.4424,0.7953,0.0001948,0.0001948,0.0001948
124,3644.36,0.35356,0.38241,0.81974,0.82421,0.85687,0.84925,0.81842,0.31155,0.47974,0.79328,0.0001882,0.0001882,0.0001882
125,3673.83,0.3492,0.36705,0.81771,0.81559,0.86026,0.86008,0.82845,0.31789,0.4423,0.79484,0.0001816,0.0001816,0.0001816
126,3703.34,0.35276,0.37754,0.82075,0.85137,0.86368,0.86372,0.82929,0.31201,0.4236,0.79444,0.000175,0.000175,0.000175
127,3733,0.3512,0.37423,0.81411,0.84643,0.80938,0.85152,0.81888,0.31371,0.44348,0.79396,0.0001684,0.0001684,0.0001684
128,3762.49,0.35302,0.37429,0.81881,0.85192,0.83591,0.86542,0.83565,0.31065,0.43282,0.79364,0.0001618,0.0001618,0.0001618
129,3791.96,0.34807,0.35858,0.82005,0.86057,0.81649,0.86038,0.82685,0.31189,0.44296,0.79391,0.0001552,0.0001552,0.0001552
130,3821.45,0.34724,0.3671,0.81373,0.8674,0.82841,0.85351,0.82148,0.31059,0.45556,0.79185,0.0001486,0.0001486,0.0001486
131,3851.05,0.34883,0.3733,0.81752,0.87417,0.82568,0.85828,0.82936,0.30746,0.43477,0.79254,0.000142,0.000142,0.000142
132,3880.6,0.34802,0.36958,0.81457,0.86393,0.8421,0.86729,0.83888,0.30684,0.43703,0.79408,0.0001354,0.0001354,0.0001354
133,3910.14,0.35097,0.37322,0.8191,0.84189,0.85553,0.85646,0.82583,0.30698,0.424,0.79341,0.0001288,0.0001288,0.0001288
134,3939.68,0.34484,0.3477,0.81665,0.87385,0.84991,0.85335,0.82362,0.30971,0.43573,0.79306,0.0001222,0.0001222,0.0001222
135,3969.29,0.34381,0.34922,0.81513,0.84776,0.86435,0.85499,0.82311,0.30812,0.42816,0.79236,0.0001156,0.0001156,0.0001156
136,3998.8,0.34912,0.34382,0.82005,0.86206,0.84171,0.84928,0.81888,0.31013,0.44638,0.79239,0.000109,0.000109,0.000109
137,4028.39,0.34343,0.35798,0.81754,0.85278,0.85723,0.8527,0.81906,0.31116,0.42415,0.79372,0.0001024,0.0001024,0.0001024
138,4057.9,0.33451,0.33,0.81255,0.87865,0.82331,0.84298,0.81334,0.30909,0.44183,0.79265,9.58e-05,9.58e-05,9.58e-05
139,4087.44,0.34312,0.35891,0.81958,0.85371,0.8387,0.8464,0.81578,0.31019,0.44408,0.79249,8.92e-05,8.92e-05,8.92e-05
140,4117,0.35006,0.35336,0.82177,0.86079,0.85462,0.8552,0.82641,0.30781,0.43509,0.79284,8.26e-05,8.26e-05,8.26e-05
141,4147.49,0.31243,0.24531,0.79744,0.88315,0.83946,0.84621,0.8159,0.30467,0.44649,0.79366,7.6e-05,7.6e-05,7.6e-05
142,4176.89,0.31022,0.24791,0.79577,0.87309,0.8462,0.85208,0.82386,0.31331,0.44203,0.79456,6.94e-05,6.94e-05,6.94e-05
143,4206.33,0.31109,0.24335,0.78969,0.87836,0.83799,0.85465,0.82213,0.3103,0.44052,0.7937,6.28e-05,6.28e-05,6.28e-05
144,4235.73,0.30634,0.23664,0.79314,0.85007,0.85755,0.85383,0.82314,0.30938,0.43843,0.79345,5.62e-05,5.62e-05,5.62e-05
145,4265.12,0.30937,0.24005,0.79617,0.83756,0.84656,0.85164,0.81982,0.30981,0.44437,0.794,4.96e-05,4.96e-05,4.96e-05
146,4294.5,0.30254,0.23008,0.79553,0.82236,0.86575,0.8539,0.82199,0.30923,0.43637,0.79391,4.3e-05,4.3e-05,4.3e-05
147,4323.89,0.3039,0.23054,0.79613,0.87022,0.84029,0.85829,0.82683,0.30679,0.42699,0.79232,3.64e-05,3.64e-05,3.64e-05
148,4353.23,0.30239,0.22743,0.79498,0.87372,0.84258,0.85954,0.82766,0.30898,0.43312,0.79335,2.98e-05,2.98e-05,2.98e-05
149,4382.64,0.30375,0.2262,0.79673,0.88035,0.84003,0.85694,0.82589,0.30979,0.44073,0.79354,2.32e-05,2.32e-05,2.32e-05
150,4412.05,0.30022,0.22695,0.79414,0.88004,0.84202,0.85762,0.82547,0.30461,0.4412,0.79291,1.66e-05,1.66e-05,1.66e-05
