epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1995.85,1.05543,0.87339,1.26292,0.83695,0.81001,0.88076,0.56808,1.27071,0.80138,1.41945,0.000270064,0.000270064,0.000270064
73,2023.42,1.06093,0.87357,1.27113,0.85396,0.80086,0.86716,0.55571,1.30041,0.87319,1.43539,0.000261065,0.000261065,0.000261065
74,2050.93,1.06156,0.87385,1.27497,0.84643,0.80779,0.88145,0.57294,1.23951,0.82344,1.40048,0.000252066,0.000252066,0.000252066
75,2078.42,1.03318,0.84715,1.2577,0.85569,0.78611,0.87114,0.57286,1.2427,0.8542,1.39582,0.000243067,0.000243067,0.000243067
76,2106.02,1.04532,0.83894,1.26062,0.86107,0.79352,0.88588,0.57055,1.23024,0.82654,1.38506,0.000234068,0.000234068,0.000234068
77,2133.57,1.04332,0.83809,1.25817,0.87397,0.78569,0.88171,0.57136,1.23021,0.81566,1.38936,0.000225068,0.000225068,0.000225068
78,2161.12,1.04223,0.85295,1.26283,0.85259,0.80267,0.88046,0.5643,1.26628,0.8136,1.41061,0.000216069,0.000216069,0.000216069
79,2188.44,1.03118,0.83739,1.24739,0.84289,0.82122,0.8885,0.57523,1.24141,0.81608,1.38855,0.00020707,0.00020707,0.00020707
80,2215.97,1.02971,0.83625,1.25331,0.8286,0.82147,0.888,0.57156,1.24362,0.80616,1.38969,0.000198071,0.000198071,0.000198071
81,2243.5,1.01358,0.82018,1.24605,0.87104,0.79909,0.88982,0.5827,1.20581,0.77402,1.37225,0.000189072,0.000189072,0.000189072
82,2271.02,1.02261,0.82535,1.24638,0.84574,0.84721,0.89295,0.58421,1.22353,0.7909,1.36766,0.000180073,0.000180073,0.000180073
83,2298.61,1.0231,0.82407,1.23944,0.84777,0.82481,0.88965,0.58467,1.23193,0.79018,1.38038,0.000171074,0.000171074,0.000171074
84,2326.29,1.00989,0.80437,1.23488,0.87787,0.83644,0.89796,0.59518,1.21701,0.74852,1.37195,0.000162075,0.000162075,0.000162075
85,2353.85,1.0056,0.80533,1.22986,0.85889,0.79794,0.88498,0.5792,1.22905,0.7807,1.37385,0.000153076,0.000153076,0.000153076
86,2381.28,1.00706,0.80887,1.24128,0.89872,0.81691,0.89374,0.59014,1.21289,0.76357,1.35916,0.000144077,0.000144077,0.000144077
87,2409.14,1.00075,0.78954,1.22958,0.87427,0.80959,0.89443,0.58997,1.20918,0.77242,1.36067,0.000135077,0.000135077,0.000135077
88,2437.4,1.00519,0.78428,1.22624,0.84516,0.84281,0.89898,0.59417,1.19563,0.77757,1.3518,0.000126078,0.000126078,0.000126078
89,2465.18,0.99038,0.79397,1.22432,0.86871,0.82688,0.90839,0.59445,1.20567,0.74866,1.36936,0.000117079,0.000117079,0.000117079
90,2492.96,1.0033,0.79734,1.22709,0.89166,0.82643,0.90875,0.6055,1.19298,0.73936,1.35161,0.00010808,0.00010808,0.00010808
91,2521.95,1.02781,0.80308,1.26677,0.82778,0.8358,0.88772,0.58125,1.2091,0.74976,1.36006,9.9081e-05,9.9081e-05,9.9081e-05
92,2549.25,1.00067,0.74513,1.24944,0.84409,0.84007,0.88882,0.58342,1.20957,0.75498,1.35452,9.00819e-05,9.00819e-05,9.00819e-05
93,2576.55,0.99171,0.73104,1.23988,0.83388,0.86204,0.89753,0.58965,1.1978,0.74556,1.35004,8.10828e-05,8.10828e-05,8.10828e-05
94,2603.95,0.97598,0.71018,1.22936,0.82632,0.86718,0.89588,0.59916,1.17662,0.7298,1.34038,7.20837e-05,7.20837e-05,7.20837e-05
95,2631.33,0.97815,0.69164,1.22442,0.82243,0.87878,0.90298,0.6011,1.16924,0.72023,1.32896,6.30846e-05,6.30846e-05,6.30846e-05
96,2658.56,0.96345,0.68655,1.21765,0.85051,0.84746,0.90231,0.59907,1.18773,0.72844,1.33653,5.40855e-05,5.40855e-05,5.40855e-05
97,2686.14,0.95415,0.67967,1.21415,0.86082,0.84711,0.90651,0.60731,1.16703,0.70931,1.32747,4.50864e-05,4.50864e-05,4.50864e-05
98,2713.59,0.96058,0.68274,1.21677,0.84331,0.86242,0.90302,0.60589,1.16614,0.71014,1.32752,3.60873e-05,3.60873e-05,3.60873e-05
99,2741.09,0.95113,0.66959,1.2069,0.85703,0.83641,0.9024,0.60511,1.17715,0.71976,1.33622,2.70882e-05,2.70882e-05,2.70882e-05
100,2768.27,0.94341,0.68514,1.20469,0.86249,0.8394,0.90399,0.60676,1.17021,0.71089,1.33051,1.80891e-05,1.80891e-05,1.80891e-05
